terminal,number_docks,map_label,location,latitude,longitude,zip,city,neighborhood,cped_sector,council_ward,loc_just,coordinates
30090,19,Portland Ave. & Washington Ave.,244 Portland Ave S,44.978068,-93.26023,55415,Minneapolis,Downtown East,Minn-Downtown,7,Minneapolis,"(44.978068, -93.260230000000007)"
30091,19,Gateway Park,201 Hennepin Ave.,44.9825943,-93.2675139,55401,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis,"(44.982594299999995, -93.267513900000012)"
30092,19,2nd Street N & 8th Ave N,715 North 2nd St,44.989166,-93.27651,55401,Minneapolis,North Loop,Minn-Downtown,7,Minneapolis,"(44.989165999999997, -93.276510000000002)"
30093,23,West 15th Street & Willow,1470 Willow Street,44.968237,-93.281991,55403,Minneapolis,Loring Park,Minn-Downtown,7,Minneapolis,"(44.968237000000002, -93.281991000000005)"
30094,15,West 32nd Street & Bryant Ave S,818 32nd St W,44.94478,-93.29038,55408,Minneapolis,CARAG,Minn-Southwest,10,Minneapolis,"(44.944780000000002, -93.290379999999999)"
30095,15,West 36th Street & Bryant Ave S,904 W 36th Street,44.93775,-93.2912,55409,Minneapolis,Lyndale,Minn-Southwest,10,Minneapolis,"(44.937750000000001, -93.291200000000003)"
30096,15,University Ave. NE & 12th Ave. NE,1212 University Ave NE,44.999894,-93.26296,55413,Minneapolis,Sheridan,Minn-East,3,Minneapolis,"(44.999893999999998, -93.262959999999993)"
30097,15,Pleasant Ave S & Lake Street,2948 Pleasant Ave S,44.948556,-93.283163,55408,Minneapolis,Whittier,Minn-Southwest,6,Equity,"(44.948555999999996, -93.283163000000002)"
30098,15,Marshall Street NE & 8th Ave. NE,801 Marshall St NE,44.995348,-93.266854,55413,Minneapolis,Sheridan,Minn-East,3,Minneapolis,"(44.995348, -93.266854000000009)"
30104,15,Logan Park,680 Broadway St. NE,44.99882,-93.25276,55413,Minneapolis,Logan Park,Minn-East,1,Equity,"(44.998820000000002, -93.252759999999995)"
30108,15,Elliot Ave S & 24th Street E,912 E 24th Street,44.9593738,-93.2610163,55414,Minneapolis,Ventura Village,Minn-South,6,Equity,"(44.959373799999995, -93.261016299999994)"
30109,15,Como Ave. SE & 29th Ave. SE,2820 Como Ave. SE,44.987934,-93.212892,55414,Minneapolis,Como,Minn-East,2,Minneapolis,"(44.987934000000003, -93.212892000000011)"
30110,15,15th Ave. SE & Como Ave. SE,901 15th Ave SE,44.987517,-93.230469,55414,Minneapolis,Como,Minn-East,2,Minneapolis,"(44.987516999999997, -93.230468999999999)"
30112,15,Central Ave. NE & 22nd Ave NE,934 22nd Ave. NE,45.00994,-93.247114,55418,Minneapolis,Holland,Minn-East,1,Equity,"(45.00994, -93.247113999999996)"
