STATION_NAME,DATE,PRECIP,TEMP_AVG,TEMP_MAX,TEMP_MIN,AVG_WIND,WDF2 (Direction of fastest 2 min wind - degrees),WDF5 (Direction of fastest 5 second wind - degrees),WSF2 (Fastest 2 min wind speed),WSF5 (Fastests 5 second wind speed),FOG,HAIL,HEAVY FOG,ICE,SMOKE/HAZE,THUNDER
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160607,0,62,72,50,8.9,330,310,17,23.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160608,0.02,65,79,54,7.6,100,110,16.1,19,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160609,0.54,72,84,62,12.8,120,110,21,27.1,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160610,0,79,91,69,8.5,220,240,18.1,25.1,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160611,0,80,93,71,6.5,80,80,17,21,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160612,0.99,74,78,61,14.8,130,130,23.9,31.1,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160613,0.4,72,78,64,8.1,80,30,18.1,25.9,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160614,1.49,69,74,64,9.6,290,280,21,25.9,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160615,0,69,77,64,11.4,310,270,21,25.9,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160616,0,70,80,63,8.5,130,110,17,21,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160617,0,74,86,66,9.6,220,230,32,38.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160618,0,78,89,70,5.6,170,180,12.1,15,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160619,0.2,83,93,71,13.2,200,210,25.1,38.9,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160620,0,77,80,65,11.4,280,280,25.9,33.1,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160621,0,71,83,60,7.6,270,270,19.9,25.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160622,0.47,74,83,63,8.9,50,50,25.9,40,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160623,0,67,77,58,10.1,360,30,21,28,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160624,0,70,82,60,8.9,170,160,18.1,25.9,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160625,0,81,96,72,15.2,210,200,30,46.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160626,0,79,88,67,12.8,270,270,28,36.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160627,0,73,76,64,12.1,330,330,21,31.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160628,0,67,77,58,5.8,40,50,16.1,19.9,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160629,0,70,81,60,4.7,260,250,13,17,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160630,0.1,72,79,61,9.6,20,30,23.9,36,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160701,0,64,75,52,6.7,20,10,17,21,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160702,0,69,79,60,5.8,150,150,13,15,0,0,0,0,0,0
