Terminal,Number_docks,Map Frame Label,Location,Latitude,Longitude,Zip Code,City,Neighborhood,CPED Sector,Council Ward,Location Justification (network = SP or MN)
30152,15,Broadway & Marshall Street NE,81 Broadway Street Northeast,44.998613,-93.268633,55413,Minneapolis,St. Anthony West,Minn-East,3,Minneapolis
30153,15,Coldwater Spring,5407 Minnehaha Park Drive South,44.905043,-93.198283,55417,Minneapolis,Minnehaha,Minn-South,12,Attraction
30154,23,11th Ave S & S 2nd Street,11th Ave S & S 2nd Street,44.97673,-93.252189,55415,Minneapolis,Downtown East,Minn-Downtown,7,Minneapolis
30155,15,University of St. Thomas,52 Cretin Avenue South,44.943017,-93.191837,55105,St. Paul,Merriam Park,St. Paul West,4,St. Paul
30156,23,Lake Nokomis,2025 East Minnehaha Parkway,44.915957,-93.242761,55417,Minneapolis,Keewaydin,Minn-South,12,Attraction
30157,25,Lake Harriet Bandshell,4692 East Lake Harriet Boulevard,44.92936,-93.30713,55419,Minneapolis,East Harriet,Minn-Southwest,13,Attraction
30158,33,Lake Street & Knox Ave S,1873 W Lake Street,44.9485,-93.305209,55408,Minneapolis,Cedar-Isles-Dean,Minn-Southwest,10,Attraction
30159,19,Fort Snelling State Park,101 Snelling Lake road,44.890527,-93.18237,55111,St. Paul,Highland Park,St. Paul West,3,Attraction
30160,15,Dupont Ave S & W 29th Street,2945 Dupont Avenue South,44.949699,-93.293129,55408,Minneapolis,Lowry Hill East,Minn-Southwest,10,Minneapolis
30161,15,27th Ave S & East Lake Street,3082 27th Avenue South,44.947329,-93.233092,55406,Minneapolis,Longfellow,Minn-South,9,Minneapolis
30162,15,Mississippi River Blvd & Summit Ave,29 South Mississippi River Boulevard,44.940288,-93.197997,55105,St. Paul,Macalester-Groveland,St. Paul West,4,Attraction
30163,15,38th Street Light Rail Station,2999 East 38th Street,44.93434,-93.229338,55406,Minneapolis,Standish,Minn-South,9,Minneapolis
30164,15,Cleveland Ave S & Highland Parkway,725 Cleveland Avenue South,44.919593,-93.187264,55104,St. Paul,Highland Park,St. Paul West,3,St. Paul
30165,15,Upton Ave S & Sheridan Ave S,4251 Upton Ave S,44.92515,-93.314597,55410,Minneapolis,Linden Hills,Minn-Southwest,13,Minneapolis
30166,19,W 36th Street & W Calhoun Parkway,3187 W 36th St,44.937817,-93.320212,55416,Minneapolis,West Calhoun,Minn-Southwest,13,Attraction
30167,15,E 38th Street & 42nd Ave S,Riverview Theater,44.9342,-93.2125,55402,Minneapolis,Downtown West,Minn-South,7,Minneapolis
30168,15,Marshall Street NE & Lowry Ave,2435 Marshall Street Northeast,45.01312,-93.27166,55418,Minneapolis,Bottineau,Minn-East,3,Minneapolis
30169,15,Marshall Street NE & 18th Ave NE,1893 Marshall Street Northeast,45.006229,-93.271571,55418,Minneapolis,Bottineau,Minn-East,3,Equity
30170,15,Nicollet Island,38 W Island Ave,44.985388,-93.26145,55401,Minneapolis,Nicollet Island/East Bank,Minn-East,3,Attraction
30171,15,SE 3rd Ave & University Ave SE,278 3rd Ave SE,44.985465,-93.252102,55414,Minneapolis,Marcy-Holmes,Minn-East,3,Minneapolis
30172,15,2nd Street SE & 5th Ave SE,514 2nd St SE,44.983321,-93.249653,55414,Minneapolis,Marcy-Holmes,Minn-East,3,Minneapolis
30173,15,22nd Ave NE & California Street NE,85 22nd Ave NE,45.010119,-93.268598,55418,Minneapolis,Bottineau,Minn-East,3,Minneapolis
30174,15,Hiawatha Ave & E 50th Street,,44.9129425,-93.2101402,55417,Minneapolis,Minnehaha,Minn-South,12,Minneapolis
30175,15,18th Ave Trail & 2nd Street NE,1700 2nd St NE,45.006321,-93.266553,55418,Minneapolis,Sheridan,Minn-East,3,Equity
30176,19,Washington Ave N & Cedar Lake Trail,347 N Washington Ave,44.985406,-93.274031,55401,Minneapolis,North Loop,Minn-Downtown,3,Minneapolis
30177,11,3rd Street NE & Lowry Ave NE,2455 3rd Street NE,45.01304,-93.264573,55418,Minneapolis,Bottineau,Minn-East,1,Equity
30178,15,5th Street NE & 1st Ave NE,105 5th Street NE,44.990328,-93.254295,55413,Minneapolis,Nicollet Island/East Bank,Minn-East,3,Minneapolis
